#separator:Comma
#html:false
#columns:Front Back Deck Tags
Describe the anatomy of: Orientation and Anatomical Terminology,"Anatomical position, body planes, directional terms, body cavities, regional terms.",BIO004::Week 1 Foundations and Histology,BIO004 week1 orientation-and-anatomical-terminology
Describe the anatomy of: Epithelial Tissue,"Classification of epithelia by shape and layers, glandular epithelium.",BIO004::Week 1 Foundations and Histology,BIO004 week1 epithelial-tissue
Describe the anatomy of: Connective Tissue,"Connective tissue proper, cartilage, bone, and blood as connective tissue.",BIO004::Week 1 Foundations and Histology,BIO004 week1 connective-tissue
Describe the anatomy of: Integumentary System,"Epidermal layers, dermis, accessory structures, surface markings.",BIO004::Week 1 Foundations and Histology,BIO004 week1 integumentary-system
Describe the anatomy of: Bone Tissue and Bone Classification,"Compact vs spongy bone, bone shapes, structure of a long bone, bone markings.",BIO004::Week 2 Skeletal System I  Bone and the Axial Skeleton,BIO004 week2 bone-tissue-and-bone-classification
Describe the anatomy of: Axial Skeleton: The Skull,"Cranial and facial bones, sutures, major foramina, the bony orbit.",BIO004::Week 2 Skeletal System I  Bone and the Axial Skeleton,BIO004 week2 axial-skeleton-the-skull
Describe the anatomy of: Axial Skeleton: Vertebral Column and Thorax,"Vertebral regions, intervertebral structure, ribs, sternum, spinal curvatures.",BIO004::Week 2 Skeletal System I  Bone and the Axial Skeleton,BIO004 week2 axial-skeleton-vertebral-column-and-thorax
Describe the anatomy of: Appendicular Skeleton: Upper Limb,"Pectoral girdle, humerus, radius, ulna, carpals, metacarpals, phalanges.",BIO004::Week 3 Skeletal System II  Appendicular Skeleton and Joints,BIO004 week3 appendicular-skeleton-upper-limb
Describe the anatomy of: Appendicular Skeleton: Lower Limb,"Pelvic girdle, femur, patella, tibia, fibula, tarsals, metatarsals, phalanges.",BIO004::Week 3 Skeletal System II  Appendicular Skeleton and Joints,BIO004 week3 appendicular-skeleton-lower-limb
Describe the anatomy of: Articulations (Joints),"Structural and functional joint classes, synovial joint anatomy, joint movements.",BIO004::Week 3 Skeletal System II  Appendicular Skeleton and Joints,BIO004 week3 articulations-joints
Describe the anatomy of: Skeletal Muscle Organization and Naming,"Gross muscle structure, fascicle arrangement, muscle naming criteria, action vocabulary.",BIO004::Week 4 Muscular System and Midterm,BIO004 week4 skeletal-muscle-organization-and-naming
"Describe the anatomy of: Muscles of the Head, Neck, and Trunk","Facial expression, mastication, neck, abdominal wall, and deep back muscles.",BIO004::Week 4 Muscular System and Midterm,BIO004 week4 muscles-of-the-head-neck-and-trunk
Describe the anatomy of: Muscles of the Limbs,Upper and lower limb muscle groups and compartments.,BIO004::Week 4 Muscular System and Midterm,BIO004 week4 muscles-of-the-limbs
Describe the anatomy of: Nervous Tissue,"Neuron structure, neuroglia of the CNS and PNS, gray vs white matter.",BIO004::Week 5 Nervous System I  Tissue and Central Nervous System,BIO004 week5 nervous-tissue
Describe the anatomy of: Spinal Cord and Spinal Nerves,"Spinal cord cross-section, meninges, spinal nerves, plexuses, reflex arc anatomy.",BIO004::Week 5 Nervous System I  Tissue and Central Nervous System,BIO004 week5 spinal-cord-and-spinal-nerves
Describe the anatomy of: The Brain,"Cerebrum, diencephalon, brainstem, cerebellum, ventricular system.",BIO004::Week 5 Nervous System I  Tissue and Central Nervous System,BIO004 week5 the-brain
Describe the anatomy of: Cranial Nerves and the Autonomic Nervous System,The 12 cranial nerves; structural pathways of the sympathetic and parasympathetic divisions.,BIO004::Week 6 Nervous System II  Peripheral Pathways and Special Senses,BIO004 week6 cranial-nerves-and-the-autonomic-nervous-system
Describe the anatomy of: Special Senses: Eye and Ear,Gross and internal anatomy of the eye and the ear.,BIO004::Week 6 Nervous System II  Peripheral Pathways and Special Senses,BIO004 week6 special-senses-eye-and-ear
Describe the anatomy of: Endocrine Glands (Anatomy),Location and gross anatomy of the major endocrine glands.,BIO004::Week 6 Nervous System II  Peripheral Pathways and Special Senses,BIO004 week6 endocrine-glands-anatomy
Describe the anatomy of: The Heart,"Chambers, valves, great vessels, and coronary circulation anatomy.","BIO004::Week 7 Cardiovascular, Lymphatic, and Respiratory Systems",BIO004 week7 the-heart
Describe the anatomy of: Blood Vessels,"Major arteries and veins, structure of the three vessel wall types.","BIO004::Week 7 Cardiovascular, Lymphatic, and Respiratory Systems",BIO004 week7 blood-vessels
Describe the anatomy of: Lymphatic and Respiratory Systems,Lymphatic vessels and organs; respiratory tract anatomy.,"BIO004::Week 7 Cardiovascular, Lymphatic, and Respiratory Systems",BIO004 week7 lymphatic-and-respiratory-systems
Describe the anatomy of: Digestive System,Gastrointestinal tract and accessory digestive organs anatomy.,BIO004::Week 8 Viscera and Synthesis,BIO004 week8 digestive-system
Describe the anatomy of: Urinary System,"Kidney gross and internal anatomy, ureters, bladder, urethra.",BIO004::Week 8 Viscera and Synthesis,BIO004 week8 urinary-system
Describe the anatomy of: Reproductive Systems,Male and female reproductive system anatomy.,BIO004::Week 8 Viscera and Synthesis,BIO004 week8 reproductive-systems
